punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 100 , 850 ) heeft buur punt2( 102 , 851 ),  gevonden in    42 doorzochte knopen met afstand 5
punt2( 100 , 900 ) heeft buur punt2(  99 , 898 ),  gevonden in    28 doorzochte knopen met afstand 5
punt2( 100 , 950 ) heeft buur punt2(  98 , 950 ),  gevonden in    22 doorzochte knopen met afstand 4
punt2( 150 ,   0 ) heeft buur punt2( 150 ,   1 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 150 ,  50 ) heeft buur punt2( 152 ,  50 ),  gevonden in    30 doorzochte knopen met afstand 4
punt2( 150 , 100 ) heeft buur punt2( 149 ,  97 ),  gevonden in    43 doorzochte knopen met afstand 10
punt2( 150 , 150 ) heeft buur punt2( 151 , 149 ),  gevonden in    23 doorzochte knopen met afstand 2
punt2( 150 , 200 ) heeft buur punt2( 150 , 200 ),  gevonden in    25 doorzochte knopen met afstand 0
punt2( 150 , 250 ) heeft buur punt2( 149 , 250 ),  gevonden in    33 doorzochte knopen met afstand 1
punt2( 150 , 300 ) heeft buur punt2( 150 , 301 ),  gevonden in    34 doorzochte knopen met afstand 1
punt2( 150 , 350 ) heeft buur punt2( 151 , 350 ),  gevonden in    31 doorzochte knopen met afstand 1
punt2( 150 , 400 ) heeft buur punt2( 150 , 401 ),  gevonden in    26 doorzochte knopen met afstand 1
punt2( 150 , 450 ) heeft buur punt2( 149 , 450 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 150 , 500 ) heeft buur punt2( 151 , 501 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 150 , 550 ) heeft buur punt2( 150 , 549 ),  gevonden in    18 doorzochte knopen met afstand 1
punt2( 150 , 600 ) heeft buur punt2( 151 , 599 ),  gevonden in    25 doorzochte knopen met afstand 2
punt2( 150 , 650 ) heeft buur punt2( 149 , 650 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 150 , 700 ) heeft buur punt2( 151 , 700 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 150 , 750 ) heeft buur punt2( 151 , 749 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 150 , 800 ) heeft buur punt2( 152 , 801 ),  gevonden in    35 doorzochte knopen met afstand 5
punt2( 150 , 850 ) heeft buur punt2( 152 , 851 ),  gevonden in    60 doorzochte knopen met afstand 5
