punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 600 , 200 ) heeft buur punt2( 599 , 201 ),  gevonden in    26 doorzochte knopen met afstand 2
punt2( 600 , 250 ) heeft buur punt2( 602 , 253 ),  gevonden in    38 doorzochte knopen met afstand 13
punt2( 600 , 300 ) heeft buur punt2( 598 , 300 ),  gevonden in    28 doorzochte knopen met afstand 4
punt2( 600 , 350 ) heeft buur punt2( 600 , 349 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 600 , 400 ) heeft buur punt2( 599 , 398 ),  gevonden in    43 doorzochte knopen met afstand 5
punt2( 600 , 450 ) heeft buur punt2( 602 , 451 ),  gevonden in    41 doorzochte knopen met afstand 5
punt2( 600 , 500 ) heeft buur punt2( 600 , 500 ),  gevonden in    21 doorzochte knopen met afstand 0
punt2( 600 , 550 ) heeft buur punt2( 599 , 551 ),  gevonden in    24 doorzochte knopen met afstand 2
punt2( 600 , 600 ) heeft buur punt2( 600 , 602 ),  gevonden in    25 doorzochte knopen met afstand 4
punt2( 600 , 650 ) heeft buur punt2( 601 , 652 ),  gevonden in    27 doorzochte knopen met afstand 5
punt2( 600 , 700 ) heeft buur punt2( 601 , 697 ),  gevonden in    47 doorzochte knopen met afstand 10
punt2( 600 , 750 ) heeft buur punt2( 600 , 749 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 600 , 800 ) heeft buur punt2( 600 , 800 ),  gevonden in    18 doorzochte knopen met afstand 0
punt2( 600 , 850 ) heeft buur punt2( 601 , 851 ),  gevonden in    25 doorzochte knopen met afstand 2
punt2( 600 , 900 ) heeft buur punt2( 599 , 900 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 600 , 950 ) heeft buur punt2( 602 , 952 ),  gevonden in    35 doorzochte knopen met afstand 8
punt2( 650 ,   0 ) heeft buur punt2( 651 ,   1 ),  gevonden in    21 doorzochte knopen met afstand 2
punt2( 650 ,  50 ) heeft buur punt2( 650 ,  52 ),  gevonden in    22 doorzochte knopen met afstand 4
punt2( 650 , 100 ) heeft buur punt2( 651 , 100 ),  gevonden in    47 doorzochte knopen met afstand 1
punt2( 650 , 150 ) heeft buur punt2( 649 , 149 ),  gevonden in    41 doorzochte knopen met afstand 2
punt2( 650 , 200 ) heeft buur punt2( 650 , 198 ),  gevonden in    48 doorzochte knopen met afstand 4
punt2( 650 , 250 ) heeft buur punt2( 650 , 251 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 650 , 300 ) heeft buur punt2( 650 , 300 ),  gevonden in    31 doorzochte knopen met afstand 0
punt2( 650 , 350 ) heeft buur punt2( 652 , 348 ),  gevonden in    33 doorzochte knopen met afstand 8
punt2( 650 , 400 ) heeft buur punt2( 650 , 400 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 650 , 450 ) heeft buur punt2( 649 , 450 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 650 , 500 ) heeft buur punt2( 652 , 500 ),  gevonden in    52 doorzochte knopen met afstand 4
punt2( 650 , 550 ) heeft buur punt2( 650 , 550 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 650 , 600 ) heeft buur punt2( 651 , 600 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 650 , 650 ) heeft buur punt2( 650 , 649 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 650 , 700 ) heeft buur punt2( 649 , 701 ),  gevonden in    34 doorzochte knopen met afstand 2
punt2( 650 , 750 ) heeft buur punt2( 649 , 749 ),  gevonden in    30 doorzochte knopen met afstand 2
punt2( 650 , 800 ) heeft buur punt2( 652 , 801 ),  gevonden in    50 doorzochte knopen met afstand 5
punt2( 650 , 850 ) heeft buur punt2( 649 , 848 ),  gevonden in    29 doorzochte knopen met afstand 5
punt2( 650 , 900 ) heeft buur punt2( 650 , 899 ),  gevonden in    30 doorzochte knopen met afstand 1
punt2( 650 , 950 ) heeft buur punt2( 650 , 950 ),  gevonden in    26 doorzochte knopen met afstand 0
punt2( 700 ,   0 ) heeft buur punt2( 702 ,   1 ),  gevonden in    40 doorzochte knopen met afstand 5
punt2( 700 ,  50 ) heeft buur punt2( 699 ,  49 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 700 , 100 ) heeft buur punt2( 698 , 100 ),  gevonden in    23 doorzochte knopen met afstand 4
punt2( 700 , 150 ) heeft buur punt2( 699 , 149 ),  gevonden in    34 doorzochte knopen met afstand 2
punt2( 700 , 200 ) heeft buur punt2( 699 , 201 ),  gevonden in    31 doorzochte knopen met afstand 2
punt2( 700 , 250 ) heeft buur punt2( 698 , 248 ),  gevonden in    38 doorzochte knopen met afstand 8
punt2( 700 , 300 ) heeft buur punt2( 698 , 300 ),  gevonden in    38 doorzochte knopen met afstand 4
punt2( 700 , 350 ) heeft buur punt2( 699 , 350 ),  gevonden in    33 doorzochte knopen met afstand 1
punt2( 700 , 400 ) heeft buur punt2( 700 , 399 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 700 , 450 ) heeft buur punt2( 699 , 449 ),  gevonden in    24 doorzochte knopen met afstand 2
punt2( 700 , 500 ) heeft buur punt2( 701 , 499 ),  gevonden in    27 doorzochte knopen met afstand 2
punt2( 700 , 550 ) heeft buur punt2( 702 , 550 ),  gevonden in    32 doorzochte knopen met afstand 4
punt2( 700 , 600 ) heeft buur punt2( 697 , 600 ),  gevonden in    31 doorzochte knopen met afstand 9
punt2( 700 , 650 ) heeft buur punt2( 698 , 651 ),  gevonden in    29 doorzochte knopen met afstand 5
punt2( 700 , 700 ) heeft buur punt2( 699 , 698 ),  gevonden in    23 doorzochte knopen met afstand 5
punt2( 700 , 750 ) heeft buur punt2( 702 , 750 ),  gevonden in    32 doorzochte knopen met afstand 4
punt2( 700 , 800 ) heeft buur punt2( 701 , 800 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 700 , 850 ) heeft buur punt2( 697 , 849 ),  gevonden in    50 doorzochte knopen met afstand 10
punt2( 700 , 900 ) heeft buur punt2( 701 , 900 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 700 , 950 ) heeft buur punt2( 701 , 951 ),  gevonden in    31 doorzochte knopen met afstand 2
punt2( 750 ,   0 ) heeft buur punt2( 750 ,   0 ),  gevonden in    18 doorzochte knopen met afstand 0
punt2( 750 ,  50 ) heeft buur punt2( 751 ,  50 ),  gevonden in    40 doorzochte knopen met afstand 1
punt2( 750 , 100 ) heeft buur punt2( 749 , 101 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 750 , 150 ) heeft buur punt2( 750 , 152 ),  gevonden in    42 doorzochte knopen met afstand 4
punt2( 750 , 200 ) heeft buur punt2( 750 , 201 ),  gevonden in    38 doorzochte knopen met afstand 1
punt2( 750 , 250 ) heeft buur punt2( 750 , 250 ),  gevonden in    31 doorzochte knopen met afstand 0
punt2( 750 , 300 ) heeft buur punt2( 750 , 300 ),  gevonden in    20 doorzochte knopen met afstand 0
punt2( 750 , 350 ) heeft buur punt2( 749 , 349 ),  gevonden in    29 doorzochte knopen met afstand 2
punt2( 750 , 400 ) heeft buur punt2( 750 , 401 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 750 , 450 ) heeft buur punt2( 748 , 451 ),  gevonden in    29 doorzochte knopen met afstand 5
punt2( 750 , 500 ) heeft buur punt2( 749 , 499 ),  gevonden in    40 doorzochte knopen met afstand 2
punt2( 750 , 550 ) heeft buur punt2( 750 , 551 ),  gevonden in    63 doorzochte knopen met afstand 1
punt2( 750 , 600 ) heeft buur punt2( 751 , 599 ),  gevonden in    42 doorzochte knopen met afstand 2
punt2( 750 , 650 ) heeft buur punt2( 749 , 650 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 750 , 700 ) heeft buur punt2( 747 , 700 ),  gevonden in    51 doorzochte knopen met afstand 9
punt2( 750 , 750 ) heeft buur punt2( 750 , 748 ),  gevonden in    57 doorzochte knopen met afstand 4
punt2( 750 , 800 ) heeft buur punt2( 747 , 798 ),  gevonden in    87 doorzochte knopen met afstand 13
punt2( 750 , 850 ) heeft buur punt2( 751 , 850 ),  gevonden in    55 doorzochte knopen met afstand 1
punt2( 750 , 900 ) heeft buur punt2( 750 , 899 ),  gevonden in    35 doorzochte knopen met afstand 1
punt2( 750 , 950 ) heeft buur punt2( 751 , 950 ),  gevonden in    60 doorzochte knopen met afstand 1
punt2( 800 ,   0 ) heeft buur punt2( 801 ,   0 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 800 ,  50 ) heeft buur punt2( 801 ,  50 ),  gevonden in    36 doorzochte knopen met afstand 1
punt2( 800 , 100 ) heeft buur punt2( 799 , 101 ),  gevonden in    35 doorzochte knopen met afstand 2
punt2( 800 , 150 ) heeft buur punt2( 799 , 150 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 800 , 200 ) heeft buur punt2( 800 , 202 ),  gevonden in    30 doorzochte knopen met afstand 4
punt2( 800 , 250 ) heeft buur punt2( 802 , 251 ),  gevonden in    38 doorzochte knopen met afstand 5
punt2( 800 , 300 ) heeft buur punt2( 800 , 300 ),  gevonden in    20 doorzochte knopen met afstand 0
punt2( 800 , 350 ) heeft buur punt2( 799 , 351 ),  gevonden in    20 doorzochte knopen met afstand 2
punt2( 800 , 400 ) heeft buur punt2( 798 , 400 ),  gevonden in    23 doorzochte knopen met afstand 4
punt2( 800 , 450 ) heeft buur punt2( 800 , 449 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 800 , 500 ) heeft buur punt2( 799 , 501 ),  gevonden in    30 doorzochte knopen met afstand 2
punt2( 800 , 550 ) heeft buur punt2( 800 , 550 ),  gevonden in    20 doorzochte knopen met afstand 0
punt2( 800 , 600 ) heeft buur punt2( 800 , 599 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 800 , 650 ) heeft buur punt2( 800 , 651 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 800 , 700 ) heeft buur punt2( 796 , 700 ),  gevonden in    62 doorzochte knopen met afstand 16
punt2( 800 , 750 ) heeft buur punt2( 800 , 752 ),  gevonden in    51 doorzochte knopen met afstand 4
punt2( 800 , 800 ) heeft buur punt2( 801 , 801 ),  gevonden in    37 doorzochte knopen met afstand 2
punt2( 800 , 850 ) heeft buur punt2( 799 , 851 ),  gevonden in    24 doorzochte knopen met afstand 2
punt2( 800 , 900 ) heeft buur punt2( 800 , 899 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 800 , 950 ) heeft buur punt2( 799 , 950 ),  gevonden in    31 doorzochte knopen met afstand 1
punt2( 850 ,   0 ) heeft buur punt2( 850 ,   0 ),  gevonden in    18 doorzochte knopen met afstand 0
punt2( 850 ,  50 ) heeft buur punt2( 848 ,  50 ),  gevonden in    26 doorzochte knopen met afstand 4
punt2( 850 , 100 ) heeft buur punt2( 850 , 101 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 850 , 150 ) heeft buur punt2( 851 , 150 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 850 , 200 ) heeft buur punt2( 847 , 199 ),  gevonden in    54 doorzochte knopen met afstand 10
punt2( 850 , 250 ) heeft buur punt2( 850 , 250 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 850 , 300 ) heeft buur punt2( 849 , 300 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 850 , 350 ) heeft buur punt2( 850 , 351 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 850 , 400 ) heeft buur punt2( 850 , 400 ),  gevonden in    25 doorzochte knopen met afstand 0
punt2( 850 , 450 ) heeft buur punt2( 848 , 449 ),  gevonden in    41 doorzochte knopen met afstand 5
punt2( 850 , 500 ) heeft buur punt2( 850 , 500 ),  gevonden in    22 doorzochte knopen met afstand 0
punt2( 850 , 550 ) heeft buur punt2( 849 , 548 ),  gevonden in    48 doorzochte knopen met afstand 5
punt2( 850 , 600 ) heeft buur punt2( 851 , 600 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 850 , 650 ) heeft buur punt2( 851 , 650 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 850 , 700 ) heeft buur punt2( 851 , 698 ),  gevonden in    48 doorzochte knopen met afstand 5
punt2( 850 , 750 ) heeft buur punt2( 850 , 751 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 850 , 800 ) heeft buur punt2( 850 , 800 ),  gevonden in    19 doorzochte knopen met afstand 0
punt2( 850 , 850 ) heeft buur punt2( 851 , 849 ),  gevonden in    22 doorzochte knopen met afstand 2
punt2( 850 , 900 ) heeft buur punt2( 851 , 900 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 850 , 950 ) heeft buur punt2( 850 , 948 ),  gevonden in    21 doorzochte knopen met afstand 4
punt2( 900 ,   0 ) heeft buur punt2( 900 ,   0 ),  gevonden in    18 doorzochte knopen met afstand 0
punt2( 900 ,  50 ) heeft buur punt2( 900 ,  50 ),  gevonden in    22 doorzochte knopen met afstand 0
punt2( 900 , 100 ) heeft buur punt2( 901 , 100 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 900 , 150 ) heeft buur punt2( 899 , 150 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 900 , 200 ) heeft buur punt2( 900 , 201 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 900 , 250 ) heeft buur punt2( 899 , 250 ),  gevonden in    31 doorzochte knopen met afstand 1
punt2( 900 , 300 ) heeft buur punt2( 900 , 303 ),  gevonden in    36 doorzochte knopen met afstand 9
punt2( 900 , 350 ) heeft buur punt2( 900 , 350 ),  gevonden in    30 doorzochte knopen met afstand 0
punt2( 900 , 400 ) heeft buur punt2( 899 , 399 ),  gevonden in    27 doorzochte knopen met afstand 2
punt2( 900 , 450 ) heeft buur punt2( 900 , 448 ),  gevonden in    20 doorzochte knopen met afstand 4
punt2( 900 , 500 ) heeft buur punt2( 901 , 500 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 900 , 550 ) heeft buur punt2( 901 , 550 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 900 , 600 ) heeft buur punt2( 900 , 601 ),  gevonden in    30 doorzochte knopen met afstand 1
punt2( 900 , 650 ) heeft buur punt2( 900 , 648 ),  gevonden in    35 doorzochte knopen met afstand 4
punt2( 900 , 700 ) heeft buur punt2( 899 , 699 ),  gevonden in    33 doorzochte knopen met afstand 2
punt2( 900 , 750 ) heeft buur punt2( 901 , 750 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 900 , 800 ) heeft buur punt2( 898 , 801 ),  gevonden in    30 doorzochte knopen met afstand 5
punt2( 900 , 850 ) heeft buur punt2( 900 , 850 ),  gevonden in    28 doorzochte knopen met afstand 0
punt2( 900 , 900 ) heeft buur punt2( 902 , 901 ),  gevonden in    30 doorzochte knopen met afstand 5
punt2( 900 , 950 ) heeft buur punt2( 902 , 949 ),  gevonden in    31 doorzochte knopen met afstand 5
punt2( 950 ,   0 ) heeft buur punt2( 948 ,   0 ),  gevonden in    13 doorzochte knopen met afstand 4
punt2( 950 ,  50 ) heeft buur punt2( 950 ,  49 ),  gevonden in    19 doorzochte knopen met afstand 1
punt2( 950 , 100 ) heeft buur punt2( 952 , 102 ),  gevonden in    29 doorzochte knopen met afstand 8
punt2( 950 , 150 ) heeft buur punt2( 950 , 149 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 950 , 200 ) heeft buur punt2( 952 , 200 ),  gevonden in    29 doorzochte knopen met afstand 4
punt2( 950 , 250 ) heeft buur punt2( 947 , 249 ),  gevonden in    53 doorzochte knopen met afstand 10
punt2( 950 , 300 ) heeft buur punt2( 948 , 298 ),  gevonden in    29 doorzochte knopen met afstand 8
punt2( 950 , 350 ) heeft buur punt2( 950 , 349 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 950 , 400 ) heeft buur punt2( 950 , 399 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 950 , 450 ) heeft buur punt2( 948 , 450 ),  gevonden in    24 doorzochte knopen met afstand 4
punt2( 950 , 500 ) heeft buur punt2( 952 , 502 ),  gevonden in    40 doorzochte knopen met afstand 8
punt2( 950 , 550 ) heeft buur punt2( 948 , 551 ),  gevonden in    48 doorzochte knopen met afstand 5
punt2( 950 , 600 ) heeft buur punt2( 951 , 600 ),  gevonden in    35 doorzochte knopen met afstand 1
punt2( 950 , 650 ) heeft buur punt2( 950 , 649 ),  gevonden in    30 doorzochte knopen met afstand 1
punt2( 950 , 700 ) heeft buur punt2( 949 , 700 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 950 , 750 ) heeft buur punt2( 951 , 748 ),  gevonden in    38 doorzochte knopen met afstand 5
punt2( 950 , 800 ) heeft buur punt2( 949 , 800 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 950 , 850 ) heeft buur punt2( 950 , 849 ),  gevonden in    33 doorzochte knopen met afstand 1
punt2( 950 , 900 ) heeft buur punt2( 949 , 900 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 950 , 950 ) heeft buur punt2( 950 , 951 ),  gevonden in    27 doorzochte knopen met afstand 1
